"Date","Price","Open","High","Low","Change %"
"Apr 27, 2016","17.290","17.290","17.290","17.290","0.00%"
"Apr 26, 2016","17.290","17.290","17.290","17.290","0.00%"
"Apr 25, 2016","17.290","17.300","17.300","17.290","-0.06%"
"Apr 22, 2016","17.300","17.300","17.300","17.300","0.00%"
"Apr 21, 2016","17.300","17.300","17.300","17.300","0.00%"
"Apr 20, 2016","17.300","17.300","17.300","17.300","0.00%"
"Apr 19, 2016","17.300","17.300","17.300","17.300","0.00%"
"Apr 18, 2016","17.300","17.300","17.300","17.300","0.00%"
"Apr 17, 2016","17.300","17.300","17.300","17.300","0.00%"
"Apr 15, 2016","17.300","17.300","17.300","17.300","0.00%"
"Apr 14, 2016","17.300","17.300","17.300","17.300","0.87%"
"Apr 13, 2016","17.150","17.150","17.150","17.150","0.00%"
"Apr 12, 2016","17.150","17.150","17.150","17.150","0.00%"
"Apr 11, 2016","17.150","17.150","17.150","17.150","0.00%"
"Apr 10, 2016","17.150","17.150","17.150","17.150","0.00%"
"Apr 08, 2016","17.150","17.150","17.150","17.150","0.00%"
"Apr 07, 2016","17.150","17.150","17.150","17.150","0.00%"
"Apr 06, 2016","17.150","17.150","17.150","17.150","0.00%"
"Apr 05, 2016","17.150","17.150","17.150","17.150","0.00%"
"Apr 04, 2016","17.150","17.150","17.150","17.150","0.00%"
"Apr 03, 2016","17.150","17.150","17.150","17.150","0.00%"
"Apr 01, 2016","17.150","17.150","17.150","17.150","0.00%"
"Mar 31, 2016","17.150","17.150","17.150","17.150","0.00%"
"Mar 30, 2016","17.150","17.150","17.150","17.150","0.00%"
"Mar 29, 2016","17.150","17.150","17.150","17.150","0.00%"
"Mar 28, 2016","17.150","17.150","17.150","17.150","0.00%"
"Mar 25, 2016","17.150","17.150","17.150","17.150","0.00%"
"Mar 24, 2016","17.150","17.150","17.150","17.150","0.00%"
"Mar 23, 2016","17.150","17.150","17.150","17.150","0.00%"
"Mar 22, 2016","17.150","17.150","17.150","17.150","0.00%"
"Mar 21, 2016","17.150","17.150","17.150","17.150","0.00%"
"Mar 20, 2016","17.150","17.150","17.150","17.150","0.00%"
"Mar 18, 2016","17.150","17.150","17.150","17.150","0.00%"
"Mar 17, 2016","17.150","17.150","17.150","17.150","0.00%"
"Mar 16, 2016","17.150","16.150","17.150","16.150","6.19%"
"Mar 15, 2016","16.150","16.150","16.150","16.150","0.00%"
"Mar 14, 2016","16.150","16.150","16.150","16.150","0.00%"
"Mar 13, 2016","16.150","16.150","16.150","16.150","0.00%"
"Mar 11, 2016","16.150","16.150","16.150","16.150","0.00%"
"Mar 10, 2016","16.150","16.150","16.150","16.150","0.00%"
"Mar 09, 2016","16.150","16.150","16.150","16.150","0.00%"
"Mar 08, 2016","16.150","15.850","16.150","15.850","1.89%"
"Mar 07, 2016","15.850","15.850","15.850","15.850","0.00%"
"Mar 06, 2016","15.850","15.850","15.850","15.850","0.00%"
"Mar 04, 2016","15.850","15.850","15.850","15.850","0.00%"
"Mar 03, 2016","15.850","15.850","15.850","15.850","0.00%"
"Mar 02, 2016","15.850","15.850","15.850","15.850","0.00%"
"Mar 01, 2016","15.850","15.850","15.850","15.850","0.00%"
"Feb 29, 2016","15.850","15.830","15.850","15.830","0.13%"
"Feb 28, 2016","15.830","15.830","15.830","15.830","0.00%"
"Feb 26, 2016","15.830","15.830","15.830","15.830","0.00%"
"Feb 25, 2016","15.830","15.830","15.830","15.830","0.00%"
"Feb 24, 2016","15.830","15.830","15.830","15.830","0.00%"
"Feb 23, 2016","15.830","15.830","15.830","15.830","0.00%"
"Feb 22, 2016","15.830","15.830","15.830","15.830","0.00%"
"Feb 21, 2016","15.830","15.830","15.830","15.830","0.00%"
"Feb 19, 2016","15.830","15.830","15.830","15.830","0.00%"
"Feb 18, 2016","15.830","15.830","15.830","15.830","0.00%"
"Feb 17, 2016","15.830","15.830","15.830","15.830","0.00%"
"Feb 16, 2016","15.830","15.770","15.830","15.770","0.38%"
"Feb 15, 2016","15.770","15.770","15.770","15.770","0.00%"
"Feb 14, 2016","15.770","15.770","15.770","15.770","0.00%"
"Feb 12, 2016","15.770","15.770","15.770","15.770","0.00%"
"Feb 11, 2016","15.770","15.770","15.770","15.770","0.00%"
"Feb 10, 2016","15.770","15.770","15.770","15.770","0.00%"
"Feb 09, 2016","15.770","15.770","15.770","15.770","0.00%"
"Feb 08, 2016","15.770","15.770","15.770","15.770","0.00%"
"Feb 07, 2016","15.770","15.770","15.770","15.770","0.00%"
"Feb 05, 2016","15.770","15.770","15.770","15.770","0.00%"
"Feb 04, 2016","15.770","15.770","15.770","15.770","0.00%"
"Feb 03, 2016","15.770","15.770","15.770","15.770","0.00%"
"Feb 02, 2016","15.770","15.770","15.770","15.770","0.00%"
"Feb 01, 2016","15.770","15.770","15.770","15.770","0.00%"
"Jan 31, 2016","15.770","15.770","15.770","15.770","0.00%"
"Jan 29, 2016","15.770","15.840","15.840","15.770","0.00%"
"Jan 28, 2016","15.770","15.840","15.840","15.770","-0.44%"
"Jan 27, 2016","15.840","15.840","15.840","15.840","0.00%"
"Jan 26, 2016","15.840","15.840","15.840","15.840","0.00%"
"Jan 25, 2016","15.840","15.840","15.840","15.840","0.00%"
"Jan 22, 2016","15.840","15.840","15.840","15.840","0.00%"
"Jan 21, 2016","15.840","15.840","15.840","15.840","0.00%"
"Jan 20, 2016","15.840","15.840","15.840","15.840","0.00%"
"Jan 19, 2016","15.840","15.540","15.840","15.540","1.93%"
"Jan 18, 2016","15.540","15.540","15.540","15.540","0.00%"
"Jan 17, 2016","15.540","15.540","15.540","15.540","0.00%"
"Jan 15, 2016","15.540","15.540","15.540","15.540","0.00%"
"Jan 14, 2016","15.540","15.540","15.540","15.540","0.00%"
"Jan 13, 2016","15.540","15.540","15.540","15.540","0.00%"
"Jan 12, 2016","15.540","15.540","15.540","15.540","0.00%"
"Jan 11, 2016","15.540","15.540","15.540","15.540","0.00%"
"Jan 10, 2016","15.540","15.540","15.540","15.540","0.00%"
"Jan 08, 2016","15.540","15.540","15.540","15.540","0.00%"
"Jan 07, 2016","15.540","15.540","15.540","15.540","0.00%"
"Jan 06, 2016","15.540","15.540","15.540","15.540","0.00%"
"Jan 05, 2016","15.540","15.540","15.540","15.540","0.00%"
"Jan 04, 2016","15.540","15.540","15.540","15.540","0.00%"
"Jan 03, 2016","15.540","15.540","15.540","15.540","0.00%"
"Jan 01, 2016","15.540","15.540","15.540","15.540","0.00%"
"Dec 31, 2015","15.540","15.540","15.540","15.540","0.00%"
"Dec 30, 2015","15.540","15.540","15.540","15.540","0.00%"
"Dec 29, 2015","15.540","15.540","15.540","15.540","0.00%"
"Dec 28, 2015","15.540","15.380","15.540","15.380","1.04%"
"Dec 27, 2015","15.380","15.380","15.380","15.380","0.00%"
"Dec 25, 2015","15.380","15.380","15.380","15.380","0.00%"
"Dec 24, 2015","15.380","15.380","15.380","15.380","0.00%"
"Dec 22, 2015","15.380","15.380","15.380","15.380","0.00%"
"Dec 21, 2015","15.380","15.380","15.380","15.380","0.00%"
"Dec 20, 2015","15.380","15.380","15.380","15.380","0.00%"
"Dec 18, 2015","15.380","15.380","15.380","15.380","0.00%"
"Dec 17, 2015","15.380","15.380","15.380","15.380","0.00%"
"Dec 16, 2015","15.380","15.380","15.380","15.380","0.00%"
"Dec 15, 2015","15.380","15.310","15.380","15.310","0.46%"
"Dec 14, 2015","15.310","15.310","15.310","15.310","0.00%"
"Dec 13, 2015","15.310","15.310","15.310","15.310","0.00%"
"Dec 11, 2015","15.310","15.310","15.310","15.310","0.00%"
"Dec 10, 2015","15.310","15.310","15.310","15.310","0.00%"
"Dec 09, 2015","15.310","15.310","15.310","15.310","0.00%"
"Dec 08, 2015","15.310","15.310","15.310","15.310","0.00%"
"Dec 07, 2015","15.310","15.310","15.310","15.310","0.39%"
"Dec 06, 2015","15.250","15.250","15.250","15.250","0.00%"
"Dec 04, 2015","15.250","15.250","15.250","15.250","0.00%"
"Dec 03, 2015","15.250","15.250","15.250","15.250","0.00%"
"Dec 02, 2015","15.250","15.250","15.250","15.250","0.00%"
"Dec 01, 2015","15.250","15.250","15.250","15.250","0.00%"
"Nov 30, 2015","15.250","15.250","15.250","15.250","-0.39%"
"Nov 29, 2015","15.310","15.310","15.310","15.310","0.00%"
"Nov 27, 2015","15.310","15.310","15.310","15.310","0.00%"
"Nov 26, 2015","15.310","15.310","15.310","15.310","0.00%"
"Nov 25, 2015","15.310","15.310","15.310","15.310","0.00%"
"Nov 24, 2015","15.310","15.310","15.310","15.310","0.00%"
"Nov 23, 2015","15.310","15.310","15.310","15.310","0.00%"
"Nov 22, 2015","15.310","15.310","15.310","15.310","0.00%"
"Nov 20, 2015","15.310","15.310","15.310","15.310","0.00%"
"Nov 19, 2015","15.310","15.310","15.310","15.310","0.00%"
"Nov 18, 2015","15.310","15.310","15.310","15.310","0.00%"
"Nov 17, 2015","15.310","15.310","15.310","15.310","0.00%"
"Nov 16, 2015","15.310","15.310","15.310","15.310","0.00%"
"Nov 15, 2015","15.310","15.310","15.310","15.310","0.00%"
"Nov 13, 2015","15.310","15.310","15.310","15.310","0.00%"
"Nov 12, 2015","15.310","15.310","15.310","15.310","0.00%"
"Nov 11, 2015","15.310","15.310","15.310","15.310","0.00%"
"Nov 10, 2015","15.310","15.310","15.310","15.310","0.00%"
"Nov 09, 2015","15.310","15.310","15.310","15.310","0.00%"
"Nov 08, 2015","15.310","15.310","15.310","15.310","0.00%"
"Nov 06, 2015","15.310","15.310","15.310","15.310","-0.65%"
"Nov 05, 2015","15.410","15.410","15.410","15.410","0.00%"
"Nov 04, 2015","15.410","15.410","15.410","15.410","0.00%"
"Nov 03, 2015","15.410","15.410","15.410","15.410","0.00%"
"Nov 02, 2015","15.410","15.410","15.410","15.410","0.00%"
"Nov 01, 2015","15.410","15.410","15.410","15.410","0.00%"
"Oct 30, 2015","15.410","15.410","15.410","15.410","0.00%"
"Oct 29, 2015","15.410","15.410","15.410","15.410","0.00%"
"Oct 28, 2015","15.410","15.410","15.410","15.410","0.00%"
"Oct 27, 2015","15.410","15.410","15.410","15.410","0.00%"
"Oct 26, 2015","15.410","15.410","15.410","15.410","2.32%"
"Oct 25, 2015","15.060","15.060","15.060","15.060","0.00%"
"Oct 23, 2015","15.060","15.060","15.060","15.060","0.00%"
"Oct 22, 2015","15.060","15.060","15.060","15.060","0.00%"
"Oct 21, 2015","15.060","15.060","15.060","15.060","0.00%"
"Oct 20, 2015","15.060","15.060","15.060","15.060","0.00%"
"Oct 19, 2015","15.060","15.060","15.060","15.060","0.00%"
"Oct 18, 2015","15.060","15.060","15.060","15.060","0.00%"
"Oct 16, 2015","15.060","15.060","15.060","15.060","0.00%"
"Oct 15, 2015","15.060","15.060","15.060","15.060","0.07%"
"Oct 14, 2015","15.050","15.050","15.050","15.050","0.00%"
"Oct 13, 2015","15.050","15.050","15.050","15.050","0.00%"
"Oct 12, 2015","15.050","15.050","15.050","15.050","0.00%"
"Oct 11, 2015","15.050","15.050","15.050","15.050","0.00%"
"Oct 09, 2015","15.050","15.050","15.050","15.050","0.00%"
"Oct 08, 2015","15.050","15.050","15.050","15.050","0.00%"
"Oct 07, 2015","15.050","15.050","15.050","15.050","0.00%"
"Oct 06, 2015","15.050","15.100","15.100","15.050","-0.33%"
"Oct 05, 2015","15.100","15.100","15.100","15.100","0.00%"
"Oct 04, 2015","15.100","15.100","15.100","15.100","0.00%"
"Oct 03, 2015","15.100","15.100","15.100","15.100","0.00%"
"Oct 02, 2015","15.100","15.100","15.100","15.100","0.00%"
"Oct 01, 2015","15.100","15.100","15.100","15.100","0.00%"
"Sep 30, 2015","15.100","15.100","15.100","15.100","-1.95%"
"Sep 29, 2015","15.400","15.400","15.400","15.400","0.00%"
"Sep 28, 2015","15.400","15.400","15.400","15.400","0.00%"
"Sep 27, 2015","15.400","15.400","15.400","15.400","0.00%"
"Sep 22, 2015","15.400","15.400","15.400","15.400","0.00%"
"Sep 21, 2015","15.400","15.400","15.400","15.400","0.00%"
"Sep 20, 2015","15.400","15.400","15.400","15.400","0.00%"
"Sep 18, 2015","15.400","15.400","15.400","15.400","0.00%"
"Sep 17, 2015","15.400","15.400","15.400","15.400","0.00%"
"Sep 16, 2015","15.400","15.400","15.400","15.400","0.00%"
"Sep 15, 2015","15.400","15.400","15.400","15.400","0.00%"
"Sep 14, 2015","15.400","15.400","15.400","15.400","0.00%"
"Sep 12, 2015","15.400","15.400","15.400","15.400","0.00%"
"Sep 11, 2015","15.400","15.400","15.400","15.400","0.00%"
"Sep 10, 2015","15.400","15.400","15.400","15.400","0.00%"
"Sep 09, 2015","15.400","15.400","15.400","15.400","0.00%"
"Sep 08, 2015","15.400","15.400","15.400","15.400","0.00%"
"Sep 07, 2015","15.400","15.400","15.400","15.400","0.00%"
"Sep 06, 2015","15.400","15.400","15.400","15.400","0.00%"
"Sep 04, 2015","15.400","15.400","15.400","15.400","0.00%"
"Sep 03, 2015","15.400","15.400","15.400","15.400","0.00%"
"Sep 02, 2015","15.400","15.400","15.400","15.400","0.00%"
"Sep 01, 2015","15.400","15.400","15.400","15.400","0.00%"
