"Date","Price","Open","High","Low","Change %"
"Aug 17, 2010","8.266","8.266","8.266","8.266","0.11%"
"Aug 16, 2010","8.257","8.257","8.257","8.257","0.00%"
"Aug 13, 2010","8.257","8.257","8.257","8.257","0.01%"
"Aug 12, 2010","8.256","8.256","8.256","8.256","-0.21%"
"Aug 11, 2010","8.273","8.273","8.273","8.273","0.00%"
"Aug 10, 2010","8.273","8.273","8.273","8.273","0.21%"
"Aug 09, 2010","8.256","8.256","8.256","8.256","0.92%"
"Aug 06, 2010","8.181","8.181","8.181","8.181","-0.90%"
"Aug 05, 2010","8.255","8.255","8.255","8.255","-0.37%"
"Aug 04, 2010","8.286","8.286","8.286","8.286","0.08%"
"Aug 03, 2010","8.279","8.279","8.279","8.279","3.69%"
"Aug 02, 2010","7.984","7.984","7.984","7.984","1.75%"
"Jul 30, 2010","7.847","7.847","7.847","7.847","0.42%"
"Jul 29, 2010","7.814","7.814","7.814","7.814","-0.61%"
"Jul 28, 2010","7.862","7.862","7.862","7.862","1.03%"
"Jul 27, 2010","7.782","7.782","7.782","7.782","5.95%"
"Jul 26, 2010","7.345","7.345","7.345","7.345","-2.05%"
"Jul 23, 2010","7.499","7.499","7.499","7.499","0.63%"
"Jul 22, 2010","7.452","7.452","7.452","7.452","2.53%"
"Jul 21, 2010","7.268","7.268","7.268","7.268","-2.27%"
"Jul 20, 2010","7.437","7.437","7.437","7.437","2.54%"
"Jul 19, 2010","7.253","7.253","7.253","7.253","1.70%"
"Jul 15, 2010","7.132","7.132","7.132","7.132","-0.11%"
"Jul 14, 2010","7.140","7.140","7.140","7.140","-0.10%"
"Jul 13, 2010","7.147","7.147","7.147","7.147","-0.53%"
"Jul 12, 2010","7.185","7.185","7.185","7.185","0.32%"
"Jul 09, 2010","7.162","7.162","7.162","7.162","0.21%"
"Jul 08, 2010","7.147","7.147","7.147","7.147","1.06%"
"Jul 07, 2010","7.072","7.072","7.072","7.072","-0.32%"
"Jul 06, 2010","7.095","7.095","7.095","7.095","0.54%"
"Jul 05, 2010","7.057","7.057","7.057","7.057","0.00%"
"Jul 02, 2010","7.057","7.057","7.057","7.057","-0.54%"
"Jul 01, 2010","7.095","7.095","7.095","7.095","-0.73%"
"Jun 30, 2010","7.147","7.147","7.147","7.147","0.75%"
"Jun 29, 2010","7.094","7.094","7.094","7.094","0.74%"
"Jun 28, 2010","7.042","7.042","7.042","7.042","0.20%"
"Jun 25, 2010","7.028","7.028","7.028","7.028","-0.62%"
"Jun 24, 2010","7.072","7.072","7.072","7.072","-1.05%"
"Jun 23, 2010","7.147","7.147","7.147","7.147","0.75%"
"Jun 22, 2010","7.094","7.094","7.094","7.094","1.37%"
"Jun 21, 2010","6.998","6.998","6.998","6.998","2.79%"
"Jun 18, 2010","6.808","6.808","6.808","6.808","0.65%"
"Jun 17, 2010","6.764","6.764","6.764","6.764","-1.07%"
"Jun 16, 2010","6.837","6.837","6.837","6.837","-3.12%"
"Jun 15, 2010","7.057","7.057","7.057","7.057","-3.49%"
"Jun 14, 2010","7.312","7.312","7.312","7.312","-1.03%"
"Jun 11, 2010","7.388","7.388","7.388","7.388","2.74%"
"Jun 10, 2010","7.191","7.191","7.191","7.191","2.64%"
"Jun 09, 2010","7.006","7.006","7.006","7.006","2.47%"
"Jun 08, 2010","6.837","6.837","6.837","6.837","3.59%"
"Jun 07, 2010","6.600","6.600","6.600","6.600","0.86%"
"Jun 04, 2010","6.544","6.544","6.544","6.544","1.54%"
"Jun 03, 2010","6.445","6.445","6.445","6.445","-0.22%"
"Jun 02, 2010","6.459","6.459","6.459","6.459","0.31%"
"Jun 01, 2010","6.439","6.439","6.439","6.439","-0.39%"
"May 28, 2010","6.464","6.464","6.464","6.464","1.72%"
"May 27, 2010","6.355","6.355","6.355","6.355","-1.09%"
"May 26, 2010","6.425","6.425","6.425","6.425","-2.36%"
"May 25, 2010","6.580","6.580","6.580","6.580","-3.98%"
"May 24, 2010","6.853","6.853","6.853","6.853","-1.78%"
"May 21, 2010","6.977","6.977","6.977","6.977","-2.38%"
"May 20, 2010","7.147","7.147","7.147","7.147","5.29%"
"May 19, 2010","6.788","6.788","6.788","6.788","2.48%"
"May 18, 2010","6.624","6.624","6.624","6.624","1.30%"
"May 17, 2010","6.539","6.539","6.539","6.539","0.69%"
"May 14, 2010","6.494","6.494","6.494","6.494","1.04%"
"May 13, 2010","6.427","6.427","6.427","6.427","0.42%"
"May 12, 2010","6.400","6.400","6.400","6.400","1.88%"
"May 11, 2010","6.282","6.282","6.282","6.282","0.77%"
"May 10, 2010","6.234","6.234","6.234","6.234","-2.70%"
"May 07, 2010","6.407","6.407","6.407","6.407","2.73%"
"May 05, 2010","6.237","6.237","6.237","6.237","-1.00%"
"May 04, 2010","6.300","6.300","6.300","6.300","-1.05%"
"Apr 30, 2010","6.367","6.367","6.367","6.367","-1.71%"
"Apr 29, 2010","6.478","6.478","6.478","6.478","-0.31%"
"Apr 28, 2010","6.498","6.498","6.498","6.498","0.29%"
"Apr 27, 2010","6.479","6.479","6.479","6.479","1.71%"
"Apr 26, 2010","6.370","6.370","6.370","6.370","1.30%"
"Apr 23, 2010","6.288","6.288","6.288","6.288","1.70%"
"Apr 22, 2010","6.183","6.183","6.183","6.183","0.91%"
"Apr 21, 2010","6.127","6.127","6.127","6.127","0.13%"
"Apr 20, 2010","6.119","6.119","6.119","6.119","1.41%"
"Apr 19, 2010","6.034","6.034","6.034","6.034","0.65%"
"Apr 16, 2010","5.995","5.995","5.995","5.995","-1.85%"
"Apr 15, 2010","6.108","6.108","6.108","6.108","-3.78%"
"Apr 14, 2010","6.348","6.348","6.348","6.348","-1.28%"
"Apr 13, 2010","6.430","6.430","6.430","6.430","2.83%"
"Apr 12, 2010","6.253","6.253","6.253","6.253","-0.54%"
"Apr 09, 2010","6.287","6.287","6.287","6.287","1.21%"
"Apr 08, 2010","6.212","6.212","6.212","6.212","1.32%"
"Apr 07, 2010","6.131","6.131","6.131","6.131","2.23%"
"Apr 06, 2010","5.997","5.997","5.997","5.997","-0.79%"
"Apr 01, 2010","6.045","6.045","6.045","6.045","0.45%"
"Mar 31, 2010","6.018","6.018","6.018","6.018","0.10%"
"Mar 30, 2010","6.012","6.012","6.012","6.012","0.33%"
"Mar 29, 2010","5.992","5.992","5.992","5.992","-0.33%"
"Mar 26, 2010","6.012","6.012","6.012","6.012","0.32%"
